date_created,message
2019-11-06 02:00:16,"RT @LionGroupWorld: Climate
The horrific price of fighting #wildfires from the skies. Aerial tanker aircraft dump tons of flame retardant #…"
2019-11-06 01:58:21,"Climate
The horrific price of fighting #wildfires from the skies. Aerial tanker aircraft dump tons of flame retarda… https://t.co/cKZihTaLnE"
2019-11-06 01:58:01,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:57:34,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:57:10,RT @mimi_elder: #CA #Wildfires #AllCounties #airquality #breathing #Asthma #COPD #AirFiltration @BCWildfireWkly @Dobieblue  EXCELLENT REMIN…
2019-11-06 01:56:03,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:55:53,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:55:05,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 01:54:04,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:53:40,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:51:43,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:50:02,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:49:33,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:49:27,AP FACT CHECK: Trump's wildfire tweets not grounded in facts https://t.co/rtpnCQKFWx #Heatwave #Wildfires
2019-11-06 01:49:14,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:47:01,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:46:52,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:46:51,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:45:37,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:45:03,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:43:51,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:43:49,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:43:25,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:42:53,"Gotts love John Cena... #wildfires #JohnCena #life 
https://t.co/1vJ8FdMpyi"
2019-11-06 01:42:15,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:41:52,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:41:50,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:41:30,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
